Place,Name,Address Line 1,Address Line 2,Phone 1,Phone 2 (Fax),Website,County,NF Beds,AFL Beds
" ABERDEEN, MS",CARE CENTER OF ABERDEEN,505 JACKSON STREET,"ABERDEEN, MS 39730",662-369-6431,662-369-6473 (fax),,MONROE,120,
" ACKERMAN, MS",CHOCTAW NURSING & REHABILITATION CENTER,311 W. CHERRY STREET,"ACKERMAN, MS 39735",662-285-3257,662-285-2725 (fax),,CHOCTAW,60,
" AMORY, MS",DIVERSICARE OF AMORY,1215 EARL FRYE BOULEVARD,"AMORY, MS 38821",662-256-9344,662-256-9991 (fax),https://dvcr.com/locations/amory,MONROE,152,
" ASHLAND, MS",ASHLAND HEALTH & REHAB,16056 BOUNDARY DRIVE,"ASHLAND, MS 38603",662-224-6196,662-224-6899 (fax),www.ashlandhealthrehab.com,BENTON,60,
" BALDWYN, MS",NMMC – BALDWYN NURSING CENTER,739 SOUTH FOURTH STREET,"BALDWYN, MS 38824",662-365-4091,662-365-4142 (fax),https://www.nmhs.net/locations/profile/baldwyn-nursing-facility,LEE,107,
" BATESVILLE, MS",DIVERSICARE OF BATESVILLE,154 WOODLAND ROAD,"BATESVILLE, MS 38606",662-563-5636,662-563-5815 (fax),https://dvcr.com/locations/batesville,PANOLA,130,
" BELZONI, MS",HUMPHREYS COUNTY NURSING HOME,500 CCC ROAD,"BELZONI, MS 39038",662-247-1821,662-247-2078 (fax),,HUMPHREYS,60,
" BRANDON, MS",BRANDON COURT NURSING CENTER,100 BURNHAM ROAD,"BRANDON, MS 39042",601-664-2259,601-664-2270 (fax),https://www.brandoncourtnursing.com,RANKIN,100,ALF Beds: 5
" BROOKHAVEN, MS",DIVERSICARE OF BROOKHAVEN,519 BROOKMAN DRIVE,"BROOKHAVEN, MS 39601",601-833-2881,601-833-2360 (fax),https://dvcr.com/locations/brookhaven,LINCOLN,58,
" BROOKSVILLE, MS",OAKWOOD MANOR,218 Oakwood Drive,"BROOKSVILLE, MS 39739",662-738-4866,662-738-4966 (fax),,NOXUBEE,,ALF Beds: 9
" BYHALIA, MS",GREAT OAKS REHABILITATION & HEALTHCARE CENTER,111 CHASE STREET,"BYHALIA, MS 38611",662-838-3670,662-838-3740 (fax),https://www.nexion-health.com/great-oaks-rehabilitation,MARSHALL,60,
" BYRAM, MS",EDGEWOOD HEALTH & REHAB,205 BYRAM PARKWAY,"BYRAM, MS 39272",601-362-5394,https://trendltc.com,,HINDS,60,
" CALHOUN CITY, MS",BAPTIST NURSING HOME – CALHOUN,152 Burke Calhoun City Road,"CALHOUN CITY, MS 38916",662-628-0121,662-628-5707 (fax),,120,,
" CANTON, MS",MADISON COUNTY NURSING HOME,1421-A EAST PEACE STREET,"CANTON, MS 39046",601-855-5760,601-855-5781 (fax),madisoncountynursinghome.com,,95,
" CARTHAGE, MS",TREND HEALTH AND REHAB OF CARTHAGE,1101 East Franklin Street,"CARTHAGE, MS 39051",US,601-267-4551,https://trendltc.com/locations/trend-health-rehab-of-carthage,,,
" CENTREVILLE, MS",WILKINSON COUNTY SENIOR CARE,116 S LAFAYETTE STREET,"CENTREVILLE, MS 39631",601-645-5253,601-645-6389 (fax),https://trendltc.com,WILKINSON,105,
" CHOCTAW, MS",CHOCTAW RESIDENTIAL CENTER,135 RESIDENTIAL CENTER ROAD,"CHOCTAW, MS 39350",601-656-2582,601-656-0670 (fax),choctawrc.com,NESHOBA,120,
" CLARKSDALE, MS",CLARKSDALE NURSING CENTER,1120 RITCHIE AVENUE,"CLARKSDALE, MS 38614",662-627-2591,662-624-6233 (fax),,COAHOMA,112,
" CLEVELAND, MS",BOLIVAR MEDICAL CENTER/LTC,901 EAST SUNFLOWER ROAD,"CLEVELAND, MS 38732",662-846-2520,662-846-2521 (fax),https://www.bolivarmedical.com/our-services/long-term-care,BOLIVAR,35,
" CLINTON, MS","CLINTON HEALTHCARE, LLC",1251 PINEHAVEN ROAD,"CLINTON, MS 39056",601-924-2996,601-924-6447 (fax),https://trendltc.com,HINDS,121,
" COLLINS, MS",LANDMARK OF COLLINS,1315 S. FIR AVE.,"COLLINS, MS 39428",601-765-8262,601-765-4716 (fax),,COVINGTON,60,
" COLUMBIA, MS",COLUMBIA REHABILITATION & HEALTHCARE CENTER,1506 N. MAIN STREET,"COLUMBIA, MS 39429",601-736-9557,601-736-7523 (fax),https://www.nexion-health.com/columbia-rehabilitation,MARION,119,
" COLUMBUS, MS",AURORA HEALTH & REHABILITATION,310 EMERALD DRIVE,"COLUMBUS, MS 39702",662-327-8021,662-327-8925 (fax),www.aurorahealthrehab.com,LOWNDES,120,
" CORINTH, MS",CORNERSTONE REHABILITATION & HEALTHCARE CENTER,302 ALCORN DRIVE,"CORINTH, MS 38834",662-286-2286,662-286-2289 (fax),https://www.nexion-health.com/cornerstone-rehabilitation,ALCORN,95,
